Y,DESCRIPTION
APPROXIMATE_VOLUME_ML,Approximate volume of the specified ROI of the image in milliliters.
APPROXIMATE_VOLUME_MM3,Approximate volume of the specified ROI of the image in cubic millimeters assuming water equivalent.
ASPHERICITY_MM,Measure of the lack roundness or deviation from spherical nature of the image ROI; min value = 0 (sphere)
AVG_DENSITY_OF_GGO_REGION_INCLUDING_PARENCHYMA,The average density of voxels identified as (-950HU <= voxel < -450HU).
COEFFICIENT_OF_VARIATION_HU,A measure of dispersion in the intensity distribution in the image ROI.
COMPACTNESS1_IBSI_MM,Dimensionless measure of compactness of ROI independent of scale and orientation (second of three implementations).
GEOMETRIC_CENTER_OF_MASS_MM_X,Patient X coordinate for center of mass unweighted by image intensity.
GEOMETRIC_CENTER_OF_MASS_MM_Y,Patient Y coordinate for center of mass unweighted by image intensity.
GEOMETRIC_CENTER_OF_MASS_MM_Z,Patient Z coordinate for center of mass unweighted by image intensity.
GLCM_ASM_GL,Average angular second moments of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_MEAN_GL,Average column means of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_STD_GL,Average column standard deviations of GLCM in all 26 directions for Grey Leveled Image.
GLCM_COL_VAR_GL,Average column variances of GLCM in all 26 directions for Grey Leveled Image.
GLCM_CONTRAST_GL,Average contrasts of GLCM in all 26 directions for Grey Leveled Image.
GLCM_CORRELATION_GL,Average correlations of GLCM in all 26 directions for Grey Leveled Image.
GLCM_DISSIMILARITY_GL,"Average dissimilarities of GLCM in all 26 directions for Grey Leveled Image.
"
GLCM_ENERGY_GL,Average energies of GLCM in all 26 directions for Grey Leveled Image.
GLCM_ENTROPY_GL,Average entropies of GLCM in all 26 directions for Grey Leveled Image.
GLCM_HOMOGENEITY_GL,Average homogeneities of GLCM in all 26 directions for Grey Leveled Image.
GLCM_IBSI_AUTOCORR_2DF_BW,Autocorrelation of GLCM by slice without merging
GLCM_IBSI_AUTOCORR_2DF_HU,Autocorrelation of GLCM by slice without merging
GLCM_IBSI_AUTOCORR_2DS_BW,Autocorrelation of GLCM by slice with merging by slice.
GLCM_IBSI_AUTOCORR_2DS_HU,Autocorrelation of GLCM by slice with merging by slice.
GLCM_IBSI_AUTOCORR_2DV_BW,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_2DV_HU,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_3DF_BW,Autocorrelation of GLCM by Volume without Merging.
GLCM_IBSI_AUTOCORR_3DF_HU,Autocorrelation of GLCM by Volume without Merging.
GLCM_IBSI_AUTOCORR_3DV_BW,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_AUTOCORR_3DV_HU,Autocorrelation of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DF_BW,Difference averages of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_AVERAGE_2DF_HU,Difference averages of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_AVERAGE_2DS_BW,Difference averages of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DS_HU,Difference averages of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DV_BW,Difference averages of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_2DV_HU,Difference averages of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_3DF_BW,Difference averages of GLCM by Volume without Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_3DF_HU,Difference averages of GLCM by Volume without Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_3DV_BW,Difference averages of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_AVERAGE_3DV_HU,Difference averages of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_2DF_BW,Difference entropies of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_ENTROPY_2DF_HU,Difference entropies of GLCM by slice without merging
GLCM_IBSI_DIFFERENCE_ENTROPY_2DS_BW,Difference entropies of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_ENTROPY_2DS_HU,Difference entropies of GLCM by slice with merging by slice.
GLCM_IBSI_DIFFERENCE_ENTROPY_2DV_BW,Difference entropies of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_2DV_HU,Difference entropies of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_3DF_BW,Difference entropies of GLCM by Volume without Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_3DF_HU,Difference entropies of GLCM by Volume without Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_3DV_BW,Difference entropies of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_ENTROPY_3DV_HU,Difference entropies of GLCM by Slice with Full Merging.
GLCM_IBSI_DIFFERENCE_VARIANCE_2DF_BW,Difference variances of GLCM by slice without merging.
GLCM_IBSI_DIFFERENCE_VARIANCE_2DF_HU,Difference variances of GLCM by slice without merging.
GLCM_IBSI_DIFFERENCE_VARIANCE_2DS_BW,Difference variances of GLCM by slice with merging by slice..
GLCM_IBSI_DIFFERENCE_VARIANCE_2DS_HU,Difference variances of GLCM by slice with merging by slice..
GLCM_IBSI_DIFFERENCE_VARIANCE_2DV_BW,Difference variances of GLCM by Slice with Full Merging..
GLCM_IBSI_DIFFERENCE_VARIANCE_2DV_HU,Difference variances of GLCM by Slice with Full Merging..
GLCM_IBSI_DIFFERENCE_VARIANCE_3DF_BW,Difference variances of GLCM by Volume without Merging..
GLCM_IBSI_DIFFERENCE_VARIANCE_3DF_HU,Difference variances of GLCM by Volume without Merging..
GLCM_IBSI_DIFFERENCE_VARIANCE_3DV_BW,Difference variances of GLCM by Slice with Full Merging..
GLCM_IBSI_DIFFERENCE_VARIANCE_3DV_HU,Difference variances of GLCM by Slice with Full Merging..
GLCM_IBSI_INVDIFF_2DF_BW,Inverse difference of GLCM by slice without merging
GLCM_IBSI_INVDIFF_2DF_HU,Inverse difference of GLCM by slice without merging
GLCM_IBSI_INVDIFF_2DS_BW,Inverse difference of GLCM by slice with merging by slice.
GLCM_IBSI_INVDIFF_2DS_HU,Inverse difference of GLCM by slice with merging by slice.
GLCM_IBSI_INVDIFF_2DV_BW,Inverse difference of GLCM by Slice with Full Merging.
GLCM_IBSI_INVDIFF_2DV_HU,Inverse difference of GLCM by Slice with Full Merging.
GLCM_IBSI_INVDIFF_3DF_BW,Inverse difference of GLCM by Volume without Merging.
GLCM_IBSI_INVDIFF_3DF_HU,Inverse difference of GLCM by Volume without Merging.
GLCM_IBSI_INVDIFF_3DV_BW,Inverse difference of GLCM by Slice with Full Merging.
GLCM_IBSI_INVDIFF_3DV_HU,Inverse difference of GLCM by Slice with Full Merging.
GLCM_IBSI_INVDIFFMOMNORM_2DF_BW,Inverse difference moment of GLCMs by slice without merging
GLCM_IBSI_INVDIFFMOMNORM_2DF_HU,Inverse difference moment of GLCMs by slice without merging
GLCM_IBSI_INVDIFFMOMNORM_2DS_BW,Inverse difference moment of GLCMs by slice with merging by slice.
GLCM_IBSI_INVDIFFMOMNORM_2DS_HU,Inverse difference moment of GLCMs by slice with merging by slice.
GLCM_IBSI_INVDIFFMOMNORM_2DV_BW,Inverse difference moment of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFMOMNORM_2DV_HU,Inverse difference moment of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFMOMNORM_3DF_BW,Inverse difference moment of GLCMs by Volume without Merging.
GLCM_IBSI_INVDIFFMOMNORM_3DF_HU,Inverse difference moment of GLCMs by Volume without Merging.
GLCM_IBSI_INVDIFFMOMNORM_3DV_BW,Inverse difference moment of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFMOMNORM_3DV_HU,Inverse difference moment of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFNORM_2DF_BW,Inverse difference normalized of GLCMs by slice without merging
GLCM_IBSI_INVDIFFNORM_2DF_HU,Inverse difference normalized of GLCMs by slice without merging
GLCM_IBSI_INVDIFFNORM_2DS_BW,Inverse difference normalized of GLCMs by slice with merging by slice.
GLCM_IBSI_INVDIFFNORM_2DS_HU,Inverse difference normalized of GLCMs by slice with merging by slice.
GLCM_IBSI_INVDIFFNORM_2DV_BW,Inverse difference normalized of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFNORM_2DV_HU,Inverse difference normalized of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFNORM_3DF_BW,Inverse difference normalized of GLCMs by Volume without Merging.
GLCM_IBSI_INVDIFFNORM_3DF_HU,Inverse difference normalized of GLCMs by Volume without Merging.
GLCM_IBSI_INVDIFFNORM_3DV_BW,Inverse difference normalized of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVDIFFNORM_3DV_HU,Inverse difference normalized of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVVAR_2DF_BW,Inverse variance of GLCMs by slice without merging
GLCM_IBSI_INVVAR_2DF_HU,Inverse variance of GLCMs by slice without merging
GLCM_IBSI_INVVAR_2DS_BW,Inverse variance of GLCMs by slice with merging by slice.
GLCM_IBSI_INVVAR_2DS_HU,Inverse variance of GLCMs by slice with merging by slice.
GLCM_IBSI_INVVAR_2DV_BW,Inverse variance of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVVAR_2DV_HU,Inverse variance of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVVAR_3DF_BW,Inverse variance of GLCMs by Volume without Merging.
GLCM_IBSI_INVVAR_3DF_HU,Inverse variance of GLCMs by Volume without Merging.
GLCM_IBSI_INVVAR_3DV_BW,Inverse variance of GLCMs by Slice with Full Merging.
GLCM_IBSI_INVVAR_3DV_HU,Inverse variance of GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_AVERAGE_2DF_BW,Averages of the GLCMs by slice without merging
GLCM_IBSI_JOINT_AVERAGE_2DF_HU,Averages of the GLCMs by slice without merging
GLCM_IBSI_JOINT_AVERAGE_2DS_BW,Averages of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_AVERAGE_2DS_HU,Averages of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_AVERAGE_2DV_BW,Averages of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_AVERAGE_2DV_HU,Averages of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_AVERAGE_3DF_BW,Averages of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_AVERAGE_3DF_HU,Averages of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_AVERAGE_3DV_BW,Averages of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_AVERAGE_3DV_HU,Averages of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_ENTROPY_2DF_BW,Entropies of the GLCMs by slice without merging
GLCM_IBSI_JOINT_ENTROPY_2DF_HU,Entropies of the GLCMs by slice without merging
GLCM_IBSI_JOINT_ENTROPY_2DS_BW,Entropies of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_ENTROPY_2DS_HU,Entropies of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_ENTROPY_2DV_BW,Entropies of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_ENTROPY_2DV_HU,Entropies of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_ENTROPY_3DF_BW,Entropies of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_ENTROPY_3DF_HU,Entropies of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_ENTROPY_3DV_BW,Entropies of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_ENTROPY_3DV_HU,Entropies of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_MAXIMUM_2DF_BW,Maximums of the GLCMs by slice without merging
GLCM_IBSI_JOINT_MAXIMUM_2DF_HU,Maximums of the GLCMs by slice without merging
GLCM_IBSI_JOINT_MAXIMUM_2DS_BW,Maximums of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_MAXIMUM_2DS_HU,Maximums of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_MAXIMUM_2DV_BW,Maximums of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_MAXIMUM_2DV_HU,Maximums of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_MAXIMUM_3DF_BW,Maximums of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_MAXIMUM_3DF_HU,Maximums of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_MAXIMUM_3DV_BW,Maximums of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_MAXIMUM_3DV_HU,Maximums of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_VARIANCE_2DF_BW,Variances of the GLCMs by slice without merging
GLCM_IBSI_JOINT_VARIANCE_2DF_HU,Variances of the GLCMs by slice without merging
GLCM_IBSI_JOINT_VARIANCE_2DS_BW,Variances of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_VARIANCE_2DS_HU,Variances of the GLCMs by slice with merging by slice.
GLCM_IBSI_JOINT_VARIANCE_2DV_BW,Variances of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_VARIANCE_2DV_HU,Variances of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_VARIANCE_3DF_BW,Variances of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_VARIANCE_3DF_HU,Variances of the GLCMs by Volume without Merging.
GLCM_IBSI_JOINT_VARIANCE_3DV_BW,Variances of the GLCMs by Slice with Full Merging.
GLCM_IBSI_JOINT_VARIANCE_3DV_HU,Variances of the GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_AVERAGE_2DF_BW,Sum averages of GLCMs by slice without merging
GLCM_IBSI_SUM_AVERAGE_2DF_HU,Sum averages of GLCMs by slice without merging
GLCM_IBSI_SUM_AVERAGE_2DS_BW,Sum averages of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_AVERAGE_2DS_HU,Sum averages of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_AVERAGE_2DV_BW,Sum averages of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_AVERAGE_2DV_HU,Sum averages of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_AVERAGE_3DF_BW,Sum averages of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_AVERAGE_3DF_HU,Sum averages of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_AVERAGE_3DV_BW,Sum averages of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_AVERAGE_3DV_HU,Sum averages of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_ENTROPY_2DF_BW,Sum entropies of GLCMs by slice without merging
GLCM_IBSI_SUM_ENTROPY_2DF_HU,Sum entropies of GLCMs by slice without merging
GLCM_IBSI_SUM_ENTROPY_2DS_BW,Sum entropies of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_ENTROPY_2DS_HU,Sum entropies of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_ENTROPY_2DV_BW,Sum entropies of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_ENTROPY_2DV_HU,Sum entropies of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_ENTROPY_3DF_BW,Sum entropies of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_ENTROPY_3DF_HU,Sum entropies of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_ENTROPY_3DV_BW,Sum entropies of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_ENTROPY_3DV_HU,Sum entropies of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_VARIANCE_2DF_BW,Sum variances of GLCMs by slice without merging
GLCM_IBSI_SUM_VARIANCE_2DF_HU,Sum variances of GLCMs by slice without merging
GLCM_IBSI_SUM_VARIANCE_2DS_BW,Sum variances of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_VARIANCE_2DS_HU,Sum variances of GLCMs by slice with merging by slice.
GLCM_IBSI_SUM_VARIANCE_2DV_BW,Sum variances of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_VARIANCE_2DV_HU,Sum variances of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_VARIANCE_3DF_BW,Sum variances of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_VARIANCE_3DF_HU,Sum variances of GLCMs by Volume without Merging.
GLCM_IBSI_SUM_VARIANCE_3DV_BW,Sum variances of GLCMs by Slice with Full Merging.
GLCM_IBSI_SUM_VARIANCE_3DV_HU,Sum variances of GLCMs by Slice with Full Merging.
GLCM_ROW_MEAN_GL,Average row means of GLCM in all 26 directions for Grey Leveled Image.
GLCM_ROW_STD_GL,Average row standard deviations of GLCM in all 26 directions for Grey Leveled Image.
GLCM_ROW_VAR_GL,Average row variances of GLCM in all 26 directions for Grey Leveled Image.
GLRLM_IBSI_GLNONUNIFORMITY_2DF_BW,Grey level nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_GLNONUNIFORMITY_2DF_HU,Grey level nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_GLNONUNIFORMITY_2DS_BW,Grey level nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLNONUNIFORMITY_2DS_HU,Grey level nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLNONUNIFORMITY_2DV_BW,Grey level nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_GLNONUNIFORMITY_2DV_HU,Grey level nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_GLNONUNIFORMITY_3DF_BW,Grey level nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITY_3DF_HU,Grey level nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITY_3DV_BW,Grey level nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITY_3DV_HU,Grey level nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DF_BW,Normalized grey level nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DF_HU,Normalized grey level nonuniformity from averaging in 8 directions for each slice .
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DS_BW,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DS_HU,Normalized grey level nonuniformity from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DV_BW,Normalized grey level nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_2DV_HU,Normalized grey level nonuniformity from merging in 8 directions for each slice.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_3DF_BW,Normalized grey level nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_3DF_HU,Normalized grey level nonuniformity from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_3DV_BW,Normalized grey level nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_GLNONUNIFORMITYNORMALIZED_3DV_HU,Normalized grey level nonuniformity from merging 26 directions in 3 dimensions.
GLRLM_IBSI_GLVARIANCE_2DF_BW,Grey level variance from averaging in 8 directions for each slice .
GLRLM_IBSI_GLVARIANCE_2DF_HU,Grey level variance from averaging in 8 directions for each slice .
GLRLM_IBSI_GLVARIANCE_2DS_BW,Grey level variance from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLVARIANCE_2DS_HU,Grey level variance from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_GLVARIANCE_2DV_BW,Grey level variance from merging in 8 directions for each slice.
GLRLM_IBSI_GLVARIANCE_2DV_HU,Grey level variance from merging in 8 directions for each slice.
GLRLM_IBSI_GLVARIANCE_3DF_BW,Grey level variance from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLVARIANCE_3DF_HU,Grey level variance from averaging 26 directions in 3 dimensions.
GLRLM_IBSI_GLVARIANCE_3DV_BW,Grey level variance from merging 26 directions in 3 dimensions.
GLRLM_IBSI_GLVARIANCE_3DV_HU,Grey level variance from merging 26 directions in 3 dimensions.
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DF_BW,High grey level run emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DF_HU,High grey level run emphasis from averaging in 8 directions for each slice .
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DS_BW,High grey level run emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DS_HU,High grey level run emphasis from merging matrices from each slice and averaging the result. .
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DV_BW,High grey level run emphasis from merging in 8 directions for each slice.
GLRLM_IBSI_HIGHGLRUNEMPHASIS_2DV_HU,High grey level run emphasis from merging in 8 directions for each slice.
